Date,AAPL,ADBE,AMZN,BAC,COST,CRM,CVX,DIS,GOOGL,HD,JNJ,JPM,KO,MA,META,MSFT,NFLX,NVDA,PEP,PG,TSLA,UNH,V,WMT,XOM
2025-01-13,0.17349972907596722,0.3813341017572915,0.2973265174293479,0.2470646776857797,0.16539193216332712,0.3567333669053457,0.19306334902222574,0.22445881623548414,0.30023498652990205,0.20546480596231137,0.15218462011411774,0.29879664577403936,0.14477045611323974,0.16303212595124492,0.2799468479243351,0.21619121309802844,0.32668914423459305,0.39049527980599724,0.16382876698574375,0.16374501805651692,0.7955151864341891,0.33489208918254837,0.17955855075300342,0.17532240085188525,0.1666002764288137
2025-01-14,0.1727998241106104,0.38201990356665,0.29722850270815976,0.24714400758309868,0.16539117170543507,0.35732764554250307,0.19357838106966319,0.2186532249771266,0.3007567967062387,0.20583825030732109,0.15226614865809251,0.29963575300430717,0.1453824059397714,0.16150467344062136,0.2821076510560534,0.21593102633176428,0.3281252079185863,0.3858431520901673,0.16397617549754068,0.16394985402392412,0.7976481922656489,0.3302369098790215,0.17037971268626873,0.17591561396705746,0.16676247677603892
2025-01-15,0.1773435018222402,0.38268292531732306,0.3009262431942218,0.2531340674363223,0.16575556411926293,0.35783962240109396,0.19161938567164105,0.2185014881196877,0.30446935516006185,0.21736053582335216,0.15229940252977725,0.30183166381459464,0.14462689717550486,0.17023705628895738,0.2925560752383964,0.22215333365893794,0.3272155241832854,0.39175473765282776,0.1638070731490336,0.16395009173930608,0.8097184503630873,0.3297336200662978,0.17537245437339125,0.1756592908834253,0.17063872626750723
2025-01-16,0.1944204479908273,0.38628322331836573,0.3023463868500062,0.25367414557091134,0.16582987837191104,0.3578964003548608,0.19177745740062033,0.22124107343665886,0.3063977762570809,0.21798819136142591,0.1579786954317379,0.30200733550254305,0.14463981603477047,0.169978090426843,0.29335480174456696,0.22226152212858785,0.2398264779968792,0.3935080793962914,0.16638500548019308,0.1644663001817285,0.8147637694999815,0.3515626770384966,0.17539434407608998,0.1756182164320403,0.1706051508363806
2025-01-17,0.19461873959449383,0.38642423342380755,0.3053914080212354,0.2518877310908736,0.17325932276320352,0.3584672600594084,0.19333085938130765,0.22065110150017847,0.3075583392063359,0.213687815884331,0.15608796291631652,0.3027804318254334,0.14361032501723478,0.16995823387071826,0.2932776874416593,0.22321431611706122,0.241646737445748,0.38937181143471256,0.1689299706784129,0.16365807649855924,0.8145674355502821,0.35142154336807263,0.17315240384832187,0.1750702317048293,0.17181471765982945
2025-01-21,0.20504561640014615,0.3876755567686714,0.30760120064219143,0.2508664910666693,0.17291072411085764,0.3576926769696516,0.19822758227215082,0.2224562920736664,0.30784732152956784,0.21691147884062986,0.15683681054114176,0.3037754728793815,0.14371204402449936,0.17016262934468854,0.29261000126210396,0.21918312438247015,0.24148082530060305,0.3922289269246944,0.16917408639355164,0.1638760476912784,0.8147191440858886,0.3572748415568412,0.17345572685846564,0.1743492150459266,0.17187075480840147
2025-01-22,0.20078607356486927,0.3865434669599511,0.3027837507674251,0.25435639860820236,0.1727698448750185,0.35749359325895674,0.19975067235755165,0.22195224442798375,0.3056977315571364,0.22069076309344426,0.15740100527328935,0.30360705603599897,0.13929232646303874,0.17021457087465505,0.2853020502390131,0.23430245351875284,0.3059303309165628,0.3981271666499369,0.16876685295839805,0.16864195273667895,0.8149446034351674,0.35736451197307234,0.17310639482082915,0.17222181998562586,0.17501904072130728
2025-01-23,0.20078555596828795,0.3865005033203431,0.30265472552515854,0.25519402820639037,0.17226736396266343,0.35738767017712375,0.19986409582718462,0.2238692538336448,0.3058016056839446,0.2211540801645645,0.15737038820396046,0.30404058868925304,0.13813883538057203,0.1716579941827546,0.28772880929761213,0.2342986182045252,0.31128396007479336,0.3979958703535132,0.16914241424404877,0.1696412913662705,0.6923369236989956,0.35958190402648194,0.17463318551659332,0.17214941917979107,0.17536964573204314
2025-01-24,0.2007328715900001,0.386493538792448,0.30284390279892387,0.2519640045403578,0.17228213319070346,0.3569187569665275,0.1999414901248394,0.22394507282161497,0.30518357855689066,0.22016834218571438,0.15415655530448352,0.30283448682227615,0.13872154162384864,0.17106355181334607,0.2890249138558654,0.23424927141983196,0.31213030902956346,0.4031790118364732,0.16953346103687,0.1692804580211317,0.691902810727651,0.3594636587553997,0.17401056292110623,0.1719877388332193,0.17718464101263723
2025-01-27,0.21061696016510073,0.38681740469039294,0.30285328448651294,0.25082831801029115,0.18045331569618983,0.3644903388525877,0.20078325232808666,0.22365463830658677,0.31877489545782933,0.2249459321587311,0.17693382388034645,0.3019431703555817,0.15385628026742365,0.17893153471983936,0.2908241533769234,0.2384578452448862,0.3118963744350596,0.5329589623587542,0.18628851420927003,0.1826273276251306,0.691584109656919,0.3620991367705349,0.17489215190957536,0.17972763990545973,0.1797571474469506
2025-01-28,0.22363760375461375,0.38689032100002263,0.30269292143899684,0.2511308434982751,0.18084620346980076,0.36996089967610674,0.19915728223613818,0.22524599073975182,0.31886592730434926,0.2231709472972091,0.17898652364209294,0.3004378191423205,0.15760452298276015,0.1786555798807933,0.2894666744802007,0.24437257090258296,0.3114340276075948,0.5648724673706225,0.19263290540467565,0.18566773947514578,0.6905243835991557,0.36195489919184437,0.17352141682531025,0.17700784763671237,0.18182882451822566
2025-01-29,0.2213703400449471,0.38681554004588564,0.3029066172192713,0.25083222760562585,0.17975992962599902,0.3714482093002515,0.19917254335730591,0.2238219289590797,0.31438417471794705,0.22450153350239058,0.17921043542066067,0.300546827163289,0.1580007842118061,0.17653465904046778,0.289297934260826,0.24552465531576148,0.3104870046072836,0.5702871660655221,0.19226950035237797,0.18523026342777027,0.6926565286628958,0.362287010603092,0.16458360678589395,0.1764495779004986,0.1822049902695473
2025-01-30,0.21850046892497166,0.38594603180666937,0.294713016707909,0.2493225819130604,0.1813511946689073,0.37521545585510985,0.19908469249112737,0.22309251760510812,0.3155821077626717,0.22448341523594287,0.18074797543021612,0.2991367486598909,0.16218368068829672,0.17692909369142437,0.276010596020066,0.246896000535121,0.31109174936028994,0.562458270723284,0.19373873432290378,0.18532510147458592,0.6894360444981282,0.36342148416036885,0.168848498117274,0.17718377336141278,0.1831618853876648
2025-01-31,0.21708031389951601,0.387087256929249,0.2696961733526042,0.2502538416299269,0.18126020576213128,0.37519006766807417,0.212888077778364,0.2229926531668792,0.31664093733886217,0.2248128029517026,0.18088534385057348,0.29945734497728543,0.16292625638986136,0.17925672149255734,0.2758794464185211,0.24611967978812183,0.31096700184081066,0.5656963972367862,0.19419643919217064,0.18620931119795123,0.688970953298914,0.36339234035443874,0.16937926805481515,0.17797140865073366,0.1873381374986704
2025-02-03,0.22837952492475766,0.3871556600325465,0.2682603233736263,0.2490930371661359,0.18744775867366498,0.37531955091060476,0.21253056283713834,0.22316396459990967,0.3170078162165452,0.225097782527261,0.17940913434048636,0.297445735237951,0.16292679043036248,0.18092289403311543,0.27467377030386514,0.24682149924442945,0.3108113591863426,0.5682411106854095,0.1938280310111511,0.18922479423750868,0.6968046631018637,0.3623532478423627,0.17036510587753395,0.17939281361075227,0.17456853302139366
2025-02-04,0.23189955456963945,0.3865217588076471,0.2683976925590703,0.24866564477292902,0.18949938747300854,0.3760127739048073,0.2190819025259078,0.2236301055190265,0.32033967589240836,0.22434348536764287,0.18084836175637548,0.29731597152552913,0.16406891937225582,0.18215913731026867,0.2726279143303514,0.24647689629453792,0.3114581397428879,0.5661357421396638,0.2121774173731818,0.1892744840148655,0.6951582017761997,0.3608345807625092,0.17059997033091429,0.17875653993548357,0.18376879801701212
2025-02-05,0.2317917233268094,0.3778718486439574,0.26439008502058675,0.18085562331395655,0.1924971556464807,0.37158934268732635,0.2112681375339404,0.2262715256200431,0.3478293720440431,0.21568389479736455,0.1815241753980965,0.18479417801050926,0.15627423825467565,0.17344593842732928,0.27253906721520776,0.24260859108386126,0.3104750895441725,0.5702643086954554,0.21238606086114115,0.1797094324685706,0.6375583514138864,0.34426434031272657,0.14367672189040565,0.18043160425972699,0.17979214169207539
2025-02-06,0.22787576229158404,0.3777412967779025,0.2638768392265103,0.179972289051924,0.19067198559476184,0.3856415972993548,0.2114086916249147,0.22757107234365997,0.34467671531502975,0.20806279558655533,0.18158334891117922,0.16534376455883731,0.15645929042466966,0.1727009147559682,0.26530452229537654,0.24154175722386506,0.30858484032710487,0.572050111673952,0.21232367615634462,0.17745855078809522,0.6363872728889205,0.3442910388667457,0.14376812525561464,0.18040957134640678,0.18131247184084948
